fips,County,State,state_code,Level 6,NBCU Flag,Tech Ops EE Count,CAE,Cable Stores,Business Services,Total CCC,Geo Area,%Retail Closed in County Updated 5/26,Division,Region,pop,state_pop
36061,New York City,New York,NY,,Y,0,0,0,0,0,,,Northeast,,18804000,20100000
06037,Los Angeles,California,CA,,Y,0,0,0,2,98,,,West,,10039107,39937489
17031,Cook,Illinois,IL,,Y,965,356,201,146,3640,Chicago Metro,70%,Central,Central Care,5150233,12659682
48195,Hansford,Texas,TX,,,0,0,0,0,0,,,Headquarters,,5399,29472295
04013,Maricopa,Arizona,AZ,,Y,0,0,0,3,9,,,West,,4485414,7378494
06073,San Diego,California,CA,,Y,0,0,0,0,23,,,West,,3338330,39937489
06059,Orange,California,CA,,,0,0,0,0,50,,,West,,3175692,39937489
12086,Miami-Dade,Florida,FL,,Y,388,0,82,50,666,Miami Metro,100%,Central,CD SS/ Div Off,2716940,21992985
48107,Crosby,Texas,TX,,,0,0,0,0,0,,,Headquarters,,5737,29472295
06065,Riverside,California,CA,,,0,0,0,0,0,,,,,2470546,39937489
32001,Churchill,Nevada,NV,,,,0,0,0,0,,,Northeast,,24909,3139658
53029,Island,Washington,WA,,,14,0,0,0,15,,,West,Washington,85141,7797095
06071,San Bernardino,California,CA,,,0,0,0,0,0,,,,,2180085,39937489
48429,Stephens,Texas,TX,,,0,0,0,0,0,,,West,,9366,29472295
48025,Bee,Texas,TX,,,,0,0,0,0,,,Headquarters,,32565,29472295
12011,Broward,Florida,FL,,Y,345,1221,67,161,2708,,63%,Central,CD SS/ Div Off,1952778,21992985
06085,Santa Clara,California,CA,,Y,196,0,65,29,690,,40%,Central,Cust Sales & Reten,1927852,39937489
26163,Wayne,Michigan,MI,,,177,17,38,8,437,Detroit Metro,80%,Central,Heartland,1749343,10045029
06001,Alameda,California,CA,,,248,0,56,48,954,N Cent CA,25%,West,California,1671329,39937489
25017,Middlesex,Massachusetts,MA,,Y,236,167,60,33,996,Boston Metro,,Northeast,GBR,1611699,6976597
42097,Northumberland,Pennsylvania,PA,,,0,0,0,0,0,,,Headquarters,,90843,12820878
06067,Sacramento,California,CA,,Y,268,0,43,34,605,,13%,West,California,1552058,39937489
12099,Palm Beach,Florida,FL,,,347,103,65,22,1051,,75%,Central,CD SS/ Div Off,1496770,21992985
36089,St. Lawrence,New York,NY,,,0,0,0,0,0,,,Northeast,,107740,20100000
12057,Hillsborough,Florida,FL,,Y,0,2,0,1,9,,,Central,Central Care,1471968,21992985
12095,Orange,Florida,FL,,,46,1,3,0,77,,100%,Central,CD SS/ Div Off,1393452,21992985
36057,Montgomery,New York,NY,,,0,0,0,0,0,,,Northeast,,49221,20100000
39045,Fairfield,Ohio,OH,,,0,0,0,0,0,,,Northeast,,157574,11747694
48449,Titus,Texas,TX,,,0,0,0,0,0,,,West,,32750,29472295
27053,Hennepin,Minnesota,MN,,,242,415,61,51,1201,MN Area,20%,West,Twin Cities,1265843,5700671
26125,Oakland,Michigan,MI,,,227,0,30,34,665,Detroit Metro,100%,Central,CD SS/ Div Off,1257584,10045029
39031,Coshocton,Ohio,OH,,,0,0,0,0,0,,,Northeast,,36600,11747694
41071,Yamhill,Oregon,OR,,,11,0,2,0,16,,100%,West,Portland,107100,4301089
49029,Morgan,Utah,UT,,,0,0,0,0,0,,,West,,12124,3282115
06013,Contra Costa,California,CA,,,200,0,43,11,474,N Cent CA,0%,West,WD SS/ Div Off,1153526,39937489
51595,Emporia city,Virginia,VA,,,0,0,0,0,0,,#N/A,Headquarters,,5346,8626207
37179,Union,North Carolina,NC,,,0,0,0,0,0,,,Northeast,,239859,10611862
37117,Martin,North Carolina,NC,,,0,0,0,0,0,,,Northeast,,22440,10611862
13121,Fulton,Georgia,GA,,,86,5,36,107,788,ATL Metro,100%,Central,Big South,1063937,10736059
24031,Montgomery,Maryland,MD,,,141,206,19,29,579,DC Metro,0%,Northeast,Beltway,1050688,6083116
04019,Pima,Arizona,AZ,,,87,237,17,2,734,,50%,West,Mountain West,1047279,7378494
48081,Coke,Texas,TX,,,0,0,0,0,0,,,Headquarters,,3387,29472295
06019,Fresno,California,CA,,Y,109,0,29,19,266,,33%,West,California,999101,39937489
29187,St. Francois,Missouri,MO,,Y,0,0,0,0,0,,,Northeast,,67215,6169270
12103,Pinellas,Florida,FL,,Y,0,1,0,0,5,,,Central,Central Care,974996,21992985
15003,Honolulu,Hawaii,HI,,Y,0,0,0,0,0,,,Central,,974563,1412687
36115,Washington,New York,NY,,,0,0,0,0,0,,,Northeast,,61204,20100000
18097,Marion,Indiana,IN,,Y,176,75,0,36,429,,,Central,CD SS/ Div Off,964582,6745354
12031,Duval,Florida,FL,,Y,206,505,45,39,1091,North Floria,0%,Central,Florida,957755,21992985
55077,Marquette,Wisconsin,WI,,,0,0,0,0,0,,,Headquarters,,15574,5851754
09001,Fairfield,Connecticut,CT,,Y,40,0,6,3,75,South CT,0%,Northeast,NED Engnr,943332,3563077
47153,Sequatchie,Tennessee,TN,,,0,0,0,0,0,,#N/A,Headquarters,,15026,6897576
13135,Gwinnett,Georgia,GA,,,94,0,15,2,143,ATL Metro,100%,Central,Big South,936250,10736059
34001,Atlantic,New Jersey,NJ,,,188,0,13,0,255,South Jersey,100%,Northeast,Freedom,263670,8882190
17043,DuPage,Illinois,IL,,,15,286,28,4,700,Chicago Metro,100%,Central,Chicago,922921,12659682
36027,Dutchess,New York,NY,,,0,0,0,1,3,,,Northeast,NED Engnr,294218,20100000
24033,Prince George's,Maryland,MD,,,157,0,18,2,261,DC Metro,67%,Northeast,Beltway,909327,6083116
53049,Pacific,Washington,WA,,,,0,0,0,0,,,Headquarters,,22471,7797095
06029,Kern,California,CA,,,0,0,0,0,1,,,Headquarters,,900202,39937489
09003,Hartford,Connecticut,CT,,,162,306,18,26,888,,0%,Northeast,NED B. Serv,891720,3563077
48117,Deaf Smith,Texas,TX,,,0,0,0,0,0,,,Headquarters,,18546,29472295
06075,San Francisco,California,CA,,Y,111,0,22,26,288,N Cent CA,0%,West,California,881549,39937489
26099,Macomb,Michigan,MI,,,234,282,42,0,838,,100%,Central,Heartland,873972,10045029
48211,Hemphill,Texas,TX,,,0,0,0,0,0,,,West,,3819,29472295
09009,New Haven,Connecticut,CT,,,77,0,22,7,176,South CT,0%,Northeast,NED Engnr,854757,3563077
06111,Ventura,California,CA,,,0,0,0,0,1,,,West,,846006,39937489
48133,Eastland,Texas,TX,,,0,0,0,0,0,,,Headquarters,,18360,29472295
42087,Mifflin,Pennsylvania,PA,,,0,0,0,0,0,,,Headquarters,,46138,12820878
25027,Worcester,Massachusetts,MA,,,43,0,5,0,58,,,Northeast,GBR,830622,6976597
24005,Baltimore,Maryland,MD,,,347,479,21,26,1282,Baltimore Metro2,0%,Northeast,Beltway,827370,6083116
34021,Mercer,New Jersey,NJ,,,87,0,10,1,133,Central Jersey,,Northeast,Freedom,367430,8882190
53057,Skagit,Washington,WA,,,19,0,2,0,28,,100%,West,Washington,129205,7797095
39057,Greene,Ohio,OH,,,0,1,0,0,1,,,Central,Central Care,168937,11747694
41047,Marion,Oregon,OR,,,49,0,17,3,105,,0%,West,Portland,347818,4301089
48149,Fayette,Texas,TX,,,0,0,0,0,0,,,Headquarters,,25346,29472295
25025,Suffolk,Massachusetts,MA,,,101,0,8,20,227,Boston Metro,0%,Northeast,GBR,803907,6976597
